Car_Name,Make,Model,Make_Year,Price
"Volkswagen Ameo [2016-2017] Highline 1.5L AT (D)",Volkswagen,Ameo,2017,657000
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2016,682000
"Honda WR-V VX i-VTEC",Honda,WR-V,2019,793000
"Renault Kwid 1.0 RXT AMT",Renault,Kwid,2017,414000
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,515000
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,604000
"Honda Brio [2011-2016] V MT",Honda,Brio,2012,316000
"Tata Harrier XZ",Tata,Harrier,2019,1419000
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,710000
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2019,392000
"Renault Triber RXT",Renault,Triber,2020,613000
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2013,598000
"Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT",Hyundai,Venue,2019,969000
"Tata Safari XZA Plus",Tata,Safari,2021,2100000
"Maruti Suzuki Swift [2017-2021] ZXI","Maruti Suzuki",Swift,2019,666000
"Toyota Yaris [2018-2021] J CVT",Toyota,Yaris,2020,1039000
"Tata Punch Creative Kaziranga Edition",Tata,Punch,2022,858000
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2017,860000
"Toyota Yaris [2018-2021] J",Toyota,Yaris,2018,680000
"Hyundai Elite i20 [2018-2020] Magna Executive 1.2",Hyundai,"Elite i20",2018,625000
"Volkswagen Ameo [2016-2020] Highline1.2L Plus (P)",Volkswagen,Ameo,2017,567000
"Maruti Suzuki Celerio [2014-2021] VXi","Maruti Suzuki",Celerio,2014,371000
"Hyundai Creta [2018-2020] 1.6 SX",Hyundai,Creta,2019,1076000
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2017,587000
"Hyundai i10 [2010-2016] Sportz Petrol",Hyundai,i10,2016,396000
"Maruti Suzuki Swift Dzire [2012-2017] ZXI","Maruti Suzuki","Swift Dzire",2014,554000
"Hyundai Verna [2017-2020] 1.6 VTVT SX",Hyundai,Verna,2019,984000
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2019,507000
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2017,586000
"Maruti Suzuki Baleno [2015-2019] Zeta Petrol","Maruti Suzuki",Baleno,2017,639000
"Maruti Suzuki Alto K10 [2010-2014] VXi","Maruti Suzuki","Alto K10",2011,237000
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2013,536000
"Renault Kwid 1.0 RXL AMT",Renault,Kwid,2020,456000
"Hyundai New i20 Asta (O) 1.0 Turbo DCT",Hyundai,"New i20",2021,1107000
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2016,571000
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2017,629000
"Maruti Suzuki Swift VXI AMT","Maruti Suzuki",Swift,2022,718000
"Hyundai Venue S 1.2",Hyundai,Venue,2022,877000
"Tata Altroz XZ 1.2",Tata,Altroz,2020,774000
"Tata Punch Accomplished AMT",Tata,Punch,2022,829000
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2014,530000
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2017,367000
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,550000
"Maruti Suzuki Ignis [2017-2020] Alpha AMT Petrol","Maruti Suzuki",Ignis,2018,660000
"Hyundai New i20 Asta (O) 1.0 Turbo DCT",Hyundai,"New i20",2021,998000
"Hyundai Verna [2017-2020] 1.6 CRDI SX (O)",Hyundai,Verna,2018,1012000
