Car_Name,Make,Model,Make_Year,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission
"Volkswagen Ameo [2016-2017] Highline 1.5L AT (D)",Volkswagen,Ameo,2017,diesel,45,"1.5L TDI Engine",1498,7-Speed,Automatic,109,250,21.66,"BS IV"
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2016,petrol,45,"1.2L Kappa 5 Speed Manual Transmission",1197,5-Speed,Manual,82,115,17.19,"BS V"
"Honda WR-V VX i-VTEC",Honda,WR-V,2019,petrol,40,"i-VTEC Petrol engine",1199,5-Speed,Manual,88.5,110,16.5,"BS IV"
"Renault Kwid 1.0 RXT AMT",Renault,Kwid,2017,petrol,28,1.0L,999,5-Speed,Manual,67,91,21.7,"BS IV"
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Honda Brio [2011-2016] V MT",Honda,Brio,2012,petrol,35,"4 cylinder inline petrol",1198,5-Speed,Manual,86.8,109,19.4,"BS III"
"Tata Harrier XZ",Tata,Harrier,2019,diesel,50,"Kryotec 2.0 L Turbocharge",1956,6-Speed,Automatic,138,350,17,"BS IV"
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,petrol,37,"1.2 L Kappa Petrol",1197,5-Speed,Manual,81.86,113.75,20.07,"BS IV"
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2019,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,22,"BS IV"
"Renault Triber RXT",Renault,Triber,2020,petrol,40,"1.0L Petrol Engine",999,5-Speed,Manual,71,96,20,"BS IV"
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2013,diesel,60,"VCDi 16V SOHC",1991,6-Speed,Automatic,164,380,17,"BS IV"
"Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT",Hyundai,Venue,2019,petrol,45,"Kappa 1.0 L Turbo GDi Petrol",998,7-Speed,Automatic,118.35,171.6,18.15,"BS V"
"Tata Safari XZA Plus",Tata,Safari,2021,diesel,50,"Kryotec 2.0 L Turbocharged Engine",1956,6-Speed,Automatic,167.67,350,17,"BS IV"
"Maruti Suzuki Swift [2017-2021] ZXI","Maruti Suzuki",Swift,2019,petrol,37,"VTVT Engine",1197,5-Speed,Manual,81.8,113,21.21,"BS IV"
"Toyota Yaris [2018-2021] J CVT",Toyota,Yaris,2020,petrol,42,"1.5 Dual VVT-i Engine",1496,CVT,Automatic,105.94,140,17.18,"BS IV"
"Tata Punch Creative Kaziranga Edition",Tata,Punch,2022,petrol,37,"1.2 Revotron",1199,5-Speed,Manual,84,113,18.9,"BS IV"
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2017,diesel,50,"dCi THP Diesel Engine",1461,6-Speed,Automatic,108.45,245,19.6,"BS V"
"Toyota Yaris [2018-2021] J",Toyota,Yaris,2018,petrol,42,"1.5 Dual VVT-i Engine",1496,6-Speed,Automatic,105.94,140,17.18,"BS IV"
"Hyundai Elite i20 [2018-2020] Magna Executive 1.2",Hyundai,"Elite i20",2018,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82.85,113.7,18.6,"BS V"
"Volkswagen Ameo [2016-2020] Highline1.2L Plus (P)",Volkswagen,Ameo,2017,petrol,45,"MPI Petrol Engine",1198,5-Speed,Manual,73.75,110,17,"BS V"
"Maruti Suzuki Celerio [2014-2021] VXi","Maruti Suzuki",Celerio,2014,petrol,35,K10B,998,5-Speed,Manual,67.04,90,23.1,"BS IV"
"Hyundai Creta [2018-2020] 1.6 SX",Hyundai,Creta,2019,diesel,55,"U2 VGT CRDi",1582,6-Speed,Automatic,126,260,15.8,"BS V"
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2017,petrol,45,"4-Cylinder 16V, DOHC",1197,5-Speed,Manual,79,104,18.16,"BS V"
"Hyundai i10 [2010-2016] Sportz Petrol",Hyundai,i10,2016,petrol,35,"DOHC Kappa2 Engine",1197,5-Speed,Manual,78.9,111.8,20.36,"BS III"
"Maruti Suzuki Swift Dzire [2012-2017] ZXI","Maruti Suzuki","Swift Dzire",2014,petrol,42,"K Series VVT Engine",1197,5-Speed,Manual,85.8,114,19.1,"BS IV"
"Hyundai Verna [2017-2020] 1.6 VTVT SX",Hyundai,Verna,2019,petrol,43,"Front Wheel Drive",1591,6-Speed,Automatic,121,158,17.4,"BS V"
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2019,petrol,35,K10B,998,5-Speed,Manual,67.04,90,23.1,"BS IV"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2017,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Zeta Petrol","Maruti Suzuki",Baleno,2017,petrol,37,"1.2L VVT Engine",1197,5-Speed,Manual,81.8,113,21.01,"BS V"
"Maruti Suzuki Alto K10 [2010-2014] VXi","Maruti Suzuki","Alto K10",2011,petrol,35,"K Series Petrol Engine",998,5-Speed,Manual,67.1,90,20.92,"BS IV"
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2013,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,"BS IV"
"Renault Kwid 1.0 RXL AMT",Renault,Kwid,2020,petrol,28,"1.0L	",999,5-Speed,Manual,67,91,21.7,"BS IV"
"Hyundai New i20 Asta (O) 1.0 Turbo DCT",Hyundai,"New i20",2021,petrol,37,"1.0 l Turbo GDi",998,7-Speed,Automatic,118,172,20.2,"BS IV"
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2016,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,"BS IV"
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2017,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,"BS IV"
"Maruti Suzuki Swift VXI AMT","Maruti Suzuki",Swift,2022,petrol,37,"VTVT Engine",1197,5-Speed,Manual,81.8,113,21.21,"BS IV"
"Hyundai Venue S 1.2",Hyundai,Venue,2022,petrol,45,"1.2 Kappa	",1197,5-Speed,Manual,82,114,17.5,"BS IV"
"Tata Altroz XZ 1.2",Tata,Altroz,2020,petrol,37,"1.2 L Revotron",1199,5-Speed,Manual,84.82,113,19.05,"BS IV"
"Tata Punch Accomplished AMT",Tata,Punch,2022,petrol,37,"1.2 Revotron",1199,6-Speed,Automatic,84,113,18.9,"BS IV"
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2014,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2017,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,"BS V"
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Maruti Suzuki Ignis [2017-2020] Alpha AMT Petrol","Maruti Suzuki",Ignis,2018,petrol,32,"1.2-Litre VVT Petrol Engine",1197,5-Speed,Manual,81.8,113,20.89,"BS V"
"Hyundai New i20 Asta (O) 1.0 Turbo DCT",Hyundai,"New i20",2021,petrol,37,"1.0 l Turbo GDi",998,7-Speed,Automatic,118,172,20.2,"BS IV"
"Hyundai Verna [2017-2020] 1.6 CRDI SX (O)",Hyundai,Verna,2018,diesel,43,"Front Wheel Drive",1582,6-Speed,Automatic,126,260,24.75,"BS V"
"Honda City ZX CVT",Honda,City,2021,petrol,40,"1.5L i-VTEC DOHC with VTC Petrol Engine",1498,7-Speed,Automatic,119.35,145,17,"BS IV"
"Hyundai New i20 Asta (O) 1.2 MT",Hyundai,"New i20",2021,petrol,37,"1.2 l Kappa petrol",1197,5-Speed,Manual,82,115,21,"BS IV"
"Renault Kwid [2017-2019] CLIMBER 1.0 AMT",Renault,Kwid,2019,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,22,"BS V"
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2019,petrol,27,"K10B Petrol Engine",998,5-Speed,Manual,67,90,21.7,"BS IV"
"Maruti Suzuki Dzire [2017-2020] VDi AMT","Maruti Suzuki",Dzire,2017,diesel,37," DDiS Diesel Engine",1248,5-Speed,Manual,74,190,28.4,"BS V"
"Hyundai New i20 Asta 1.0 Turbo IMT",Hyundai,"New i20",2020,petrol,37,"1.0 l Turbo GDi",998,6-Speed,Automatic,118,172,20.2,"BS IV"
"Mahindra TUV300 [2015-2020] T8 mHAWK100 AMT",Mahindra,TUV300,2017,diesel,60," mHawk",1493,5-Speed,Manual,100,240,18.49,"BS V"
